userid,recency,frequency,monetary,kmeans
1,1,1,60000,1
2,5,2,120000,0
3,6,4,240000,2
4,6,4,240000,2
5,6,4,240000,2
6,6,4,240000,2
7,6,4,240000,2
8,5,2,120000,0
9,5,2,120000,0
10,5,2,120000,0
11,5,2,120000,0
12,5,2,120000,0
13,5,3,180000,2
14,6,4,240000,2
15,4,2,120000,1
16,4,2,120000,1
17,1,1,60000,1
18,3,2,120000,1
19,1,1,60000,1
20,3,2,120000,1
21,6,2,120000,0
22,3,2,120000,1
24,6,4,240000,2
25,5,4,240000,2
27,6,5,300000,2
29,3,1,60000,1
30,6,2,120000,0
31,6,3,180000,2
32,6,2,120000,0
33,6,3,180000,2
34,4,1,60000,1
35,4,1,60000,1
36,4,1,60000,1
37,5,2,120000,0
38,5,3,180000,2
39,5,2,120000,0
40,5,3,180000,2
41,5,2,120000,0
42,5,1,60000,0
43,5,2,120000,0
44,6,2,120000,0
45,6,2,120000,0
46,6,1,60000,0
47,6,1,60000,0
48,6,1,60000,0
50,6,5,300000,2
51,4,1,60000,1
52,4,1,60000,1
53,4,1,60000,1
54,4,1,60000,1
55,4,1,60000,1
56,4,2,120000,1
57,6,2,120000,0
58,6,2,120000,0
59,6,2,120000,0
60,5,3,180000,2
61,6,2,120000,0
62,6,2,120000,0
63,5,2,120000,0
64,5,1,60000,0
65,5,1,60000,0
66,5,2,120000,0
67,6,5,300000,2
68,5,4,240000,2
69,5,1,60000,0
70,5,1,60000,0
71,6,2,120000,0
72,6,1,60000,0
73,6,2,120000,0
74,6,1,60000,0
75,4,3,180000,1
76,4,4,240000,2
77,4,1,60000,1
78,4,1,60000,1
79,4,2,120000,1
80,4,1,60000,1
81,4,1,60000,1
82,4,1,60000,1
83,4,2,120000,1
84,5,2,120000,0
85,5,3,180000,2
86,5,2,120000,0
87,5,2,120000,0
88,5,2,120000,0
89,6,1,60000,0
92,3,3,180000,1
95,6,1,60000,0
98,6,1,60000,0
99,3,3,180000,1
100,2,2,120000,1
101,6,3,180000,2
105,5,1,60000,0
106,5,1,60000,0
107,5,1,60000,0
108,6,2,120000,0
109,5,1,60000,0
110,6,5,300000,2
111,4,1,60000,1
112,4,1,60000,1
113,4,1,60000,1
114,4,1,60000,1
115,4,1,60000,1
116,6,2,120000,0
117,6,5,300000,2
118,6,5,300000,2
123,5,1,60000,0
124,5,1,60000,0
125,5,1,60000,0
126,6,2,120000,0
127,5,1,60000,0
128,5,1,60000,0
133,6,1,60000,0
138,6,1,60000,0
139,6,1,60000,0
140,6,1,60000,0
141,6,3,180000,2
142,6,1,60000,0
143,6,1,60000,0
144,6,3,180000,2
147,6,3,180000,2
153,6,1,60000,0
154,6,2,120000,0
155,6,4,240000,2
156,6,1,60000,0
157,6,4,240000,2
158,6,1,60000,0
159,6,2,120000,0
162,5,5,300000,2
163,3,1,60000,1
164,3,1,60000,1
166,3,1,60000,1
167,5,4,240000,2
168,5,4,240000,2
169,4,1,60000,1
170,4,1,60000,1
171,4,1,60000,1
172,4,1,60000,1
173,5,4,240000,2
174,5,4,240000,2
176,6,1,60000,0
177,6,1,60000,0
178,4,3,180000,1
179,6,1,60000,0
180,6,1,60000,0
184,4,3,180000,1
186,6,1,60000,0
187,4,2,120000,1
188,6,1,60000,0
189,6,1,60000,0
190,6,2,120000,0
191,3,1,60000,1
194,3,1,60000,1
195,3,1,60000,1
196,5,4,240000,2
197,5,2,120000,0
198,5,1,60000,0
199,5,2,120000,0
200,6,2,120000,0
201,6,2,120000,0
202,6,2,120000,0
203,6,2,120000,0
204,5,4,240000,2
205,6,1,60000,0
210,6,1,60000,0
211,6,2,120000,0
215,3,1,60000,1
216,6,1,60000,0
217,5,2,120000,0
218,5,2,120000,0
219,5,2,120000,0
220,5,4,240000,2
221,6,3,180000,2
222,5,1,60000,0
223,3,1,60000,1
228,6,1,60000,0
229,1,1,60000,1
234,6,1,60000,0
235,6,6,360000,2
241,6,1,60000,0
243,3,1,60000,1
244,6,5,300000,2
245,5,2,120000,0
246,5,2,120000,0
247,6,5,300000,2
248,6,2,120000,0
249,5,2,120000,0
250,6,6,360000,2
255,6,2,120000,0
256,5,1,60000,0
257,6,2,120000,0
258,6,1,60000,0
259,6,1,60000,0
260,6,1,60000,0
261,6,5,300000,2
266,5,1,60000,0
267,3,1,60000,1
268,3,1,60000,1
269,5,2,120000,0
271,6,2,120000,0
272,6,1,60000,0
273,6,1,60000,0
274,6,5,300000,2
275,6,2,120000,0
279,6,6,360000,2
283,3,1,60000,1
284,6,5,300000,2
285,6,4,240000,2
287,6,4,240000,2
289,6,4,240000,2
290,4,3,180000,1
291,4,3,180000,1
293,3,1,60000,1
294,6,2,120000,0
295,5,5,300000,2
296,6,1,60000,0
297,5,5,300000,2
298,6,2,120000,0
299,5,4,240000,2
300,5,4,240000,2
301,6,2,120000,0
302,5,4,240000,2
303,5,1,60000,0
304,5,1,60000,0
305,4,3,180000,1
306,4,3,180000,1
308,6,4,240000,2
309,6,4,240000,2
313,6,4,240000,2
314,6,4,240000,2
315,6,5,300000,2
316,3,1,60000,1
317,6,6,360000,2
318,6,5,300000,2
320,6,5,300000,2
322,6,1,60000,0
327,5,1,60000,0
328,5,1,60000,0
329,6,2,120000,0
330,5,2,120000,0
331,5,1,60000,0
332,3,1,60000,1
333,3,1,60000,1
334,3,1,60000,1
337,5,1,60000,0
338,5,1,60000,0
339,5,1,60000,0
342,6,1,60000,0
343,6,5,300000,2
348,6,1,60000,0
349,6,5,300000,2
353,6,5,300000,2
355,6,1,60000,0
356,6,3,180000,2
357,6,3,180000,2
358,5,2,120000,0
359,5,1,60000,0
360,5,1,60000,0
362,4,4,240000,2
364,6,1,60000,0
365,6,1,60000,0
366,6,1,60000,0
368,5,1,60000,0
369,5,1,60000,0
370,5,1,60000,0
371,5,1,60000,0
373,6,1,60000,0
374,6,1,60000,0
375,6,1,60000,0
376,6,1,60000,0
377,3,1,60000,1
383,4,4,240000,2
387,6,1,60000,0
388,6,2,120000,0
389,6,2,120000,0
390,6,2,120000,0
392,3,1,60000,1
393,3,1,60000,1
395,4,3,180000,1
398,5,1,60000,0
402,3,1,60000,1
405,6,2,120000,0
406,6,1,60000,0
407,6,1,60000,0
408,6,1,60000,0
409,6,1,60000,0
410,6,2,120000,0
411,6,2,120000,0
412,6,1,60000,0
413,5,4,240000,2
416,3,1,60000,1
417,3,1,60000,1
418,5,1,60000,0
420,3,1,60000,1
425,4,3,180000,1
428,6,1,60000,0
430,4,3,180000,1
434,4,3,180000,1
435,6,1,60000,0
436,5,1,60000,0
438,3,1,60000,1
439,3,1,60000,1
441,5,1,60000,0
444,4,3,180000,1
445,6,1,60000,0
447,1,1,60000,1
448,5,1,60000,0
450,4,3,180000,1
453,6,2,120000,0
455,5,2,120000,0
457,6,1,60000,0
459,5,2,120000,0
460,1,1,60000,1
461,1,1,60000,1
462,6,2,120000,0
463,4,4,240000,2
464,1,1,60000,1
465,5,2,120000,0
466,6,4,240000,2
467,6,4,240000,2
468,6,6,360000,2
470,6,6,360000,2
473,1,1,60000,1
475,3,1,60000,1
476,6,5,300000,2
477,6,5,300000,2
478,6,6,360000,2
479,5,5,300000,2
480,5,5,300000,2
481,3,1,60000,1
482,5,4,240000,2
487,4,4,240000,2
488,4,4,240000,2
490,6,1,60000,0
492,5,5,300000,2
493,5,1,60000,0
494,5,2,120000,0
495,5,4,240000,2
496,6,2,120000,0
498,4,3,180000,1
501,6,6,360000,2
503,6,6,360000,2
505,6,3,180000,2
507,4,2,120000,1
508,6,1,60000,0
509,6,6,360000,2
510,6,1,60000,0
511,5,5,300000,2
512,6,1,60000,0
513,6,3,180000,2
514,6,4,240000,2
515,6,2,120000,0
516,5,1,60000,0
519,6,6,360000,2
520,6,6,360000,2
